weekDay,date,Activity Type,dateTime,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Run Type,Distance Type,Weather,Location,Shoes
Tuesday,1/1/2019,,2019-01-01 7:57:00,,,3.04,,00:26:31,,,,,,8:43,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"60, cloudy",Whitehall,Brooks Revel 1
Wednesday,1/2/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,1/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,1/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,1/5/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,1/6/2019,,2019-01-06 15:37:00,,,3.01,,00:24:13,,,,,,8:03,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"70, sunny",Whitehall,Brooks Revel 1
Monday,1/7/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,1/8/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,1/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,1/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,1/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,1/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,1/13/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,1/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,1/15/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,1/16/2019,,2019-01-16 17:38:00,,,2.03,,00:15:54,,,,,,7:49,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"55, sunny",Whitehall,Brooks Revel 1
Thursday,1/17/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,1/18/2019,,2019-01-18 17:55:00,,,3.02,,00:24:27,,,,,,8:05,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"54, cloudy",Whitehall,Brooks Revel 1
Saturday,1/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,1/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,1/21/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,1/22/2019,,2019-01-22 17:13:00,,,2.3,,00:18:06,,,,,,7:51,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"43, cloudy",Whitehall,Brooks Revel 1
Wednesday,1/23/2019,,2019-01-23 16:50:00,,,3,,00:25:25,,,,,,8:27,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"63, partly cloudy",Whitehall,Brooks Revel 1
Thursday,1/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,1/25/2019,,2019-01-25 16:42:00,,,3,,00:24:17,,,,,,8:05,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"49, sunny",Whitehall,Brooks Revel 1
Saturday,1/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,1/27/2019,,2019-01-27 15:23:00,,,3,,00:23:49,,,,,,7:55,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"51, sunny",Whitehall,Brooks Revel 1
Monday,1/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,1/29/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,1/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,1/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,2/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,2/2/2019,,2019-02-02 15:41:00,,,3,,00:24:06,,,,,,8:01,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"67, partly cloudy",Whitehall,Brooks Revel 1
Sunday,2/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,2/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,2/5/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,2/6/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,2/7/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,2/8/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,2/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,2/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,2/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,2/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,2/13/2019,,2019-02-13 16:19:00,,,4.05,,00:30:58,,,,,,7:39,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"58, sunny",Barnett Shoals,Brooks Revel 1
Thursday,2/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,2/15/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,2/16/2019,,2019-02-16 12:43:00,,,4.01,,00:30:26,,,,,,7:35,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"67, sunny",Barnett Shoals,Brooks Revel 1
Sunday,2/17/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,2/18/2019,,2019-02-18 12:44:00,,,5.06,,00:41:42,,,,,,8:14,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"59, sunny",Barnett Shoals,Brooks Revel 1
Tuesday,2/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,2/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,2/21/2019,,2019-02-21 18:02:00,,,4.03,,00:29:50,,,,,,7:24,,,,,,,,,,,,,,,,,,Tempo,Short Distance,,Barnett Shoals,Brooks Revel 1
Friday,2/22/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,2/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,2/24/2019,,2019-02-24 10:13:00,,,6.01,,00:49:27,,,,,,8:14,,,,,,,,,,,,,,,,,,Distance,Mid Distance,"56, sunny",Barnett Shoals,Brooks Revel 1
Monday,2/25/2019,,2019-02-25 18:07:00,,,4.01,,00:28:42,,,,,,7:10,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"60, sunny",Barnett Shoals,Brooks Revel 1
Tuesday,2/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,2/27/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,2/28/2019,,2019-02-28 18:00:00,,,4,,00:29:45,,,,,,7:26,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"60, partly cloudy",Barnett Shoals,Brooks Revel 1
Friday,3/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
