weekDay,date,Activity Type,dateTime,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Run Type,Distance Type,Weather,Location,Shoes
Tuesday,2/11/2020,,2/11/2020 17:22,,,6,,0:46:50,,,,,,7:48,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"70, cloudy",Campus,Brooks Ghost 11
Wednesday,2/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Thursday,2/13/2020,,2/13/2020 17:19,,,5.26,,0:42:34,,,,,,8:06,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"59, partly cloudy",Campus,Brooks Ghost 11
Friday,2/14/2020,,2/14/2020 16:31,,,3.13,,20:19,,,,,,6:30,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"57, sunny",Barnett Shoals,Nike Epic React 2
Saturday,2/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,2/16/2020,,2/16/2020 13:46,,,10.21,,1:22:43,,,,,,8:06,,,,,,,,,,,,,,,,,,Distance,Long Distance,"43, cloudy","Snapfinger, Old Lexington",Brooks Ghost 11
Monday,2/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Tuesday,2/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Wednesday,2/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Thursday,2/20/2020,,2/20/2020 17:31,,,3.01,,22:18,,,,,,7:25,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"38,raining",Barnett Shoals,Brooks Ghost 11
Friday,2/21/2020,,2/21/2020 5:02,,,4.84,,35:26:00,,,,,,7:19,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"47,sunny","Snapfinger, Barnett Shoals",Brooks Ghost 11
Saturday,2/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,2/23/2020,,2/23/2020 9:26,,,12,,1:34:19,,,,,,7:52,,,,,,,,,,,,,,,,,,Distance,Long Distance,"41, partly cloudy","Snapfinger, Ashton Place, Old Lexington",Nike Epic React 2
Monday,2/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Tuesday,2/25/2020,,2/25/2020 17:22,,,7,,54:08:00,,,,,,7:43,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"66, partly cloudy",Campus,Brooks Ghost 11
Wednesday,2/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Thursday,2/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Friday,2/28/2020,,2/28/2020 17:16,,,6.02,,44:52:00,,,,,,7:27,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,partly cloudy,Campus,Nike Epic React 2
Saturday,2/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
