weekDay,date,Activity Type,dateTime,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Run Type,Distance Type,Weather,Location,Shoes
Friday,1/29/2021,Running,1/29/2021 16:39,FALSE,Athens Running,3.48,423,0:26:51,162,173,3.2,147,164,7:44,6:20,148,89,1.41,0,0,0,0,0,26:51:00,0:00,0,0:00,No,03:42.7,4,0,Steady,Short Distance,"54,clear",Barnett Shoals,Nike React Miler
Saturday,1/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,1/31/2021,Running,1/31/2021 12:06,FALSE,Athens Running,10,"1,239",1:22:52,162,174,4.2,146,164,8:17,7:02,558,582,1.33,0,0,0,0,0,1:22:52,0:00,0,0:00,No,00:02.3,11,0,Distance,Long Distance,"43,rain","Barnett Shoals, Old Lexington, Snapfinger, Barnett Shoals",Nike React Miler
Monday,2/1/2021,Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,2/2/2021,Running,2/2/2021 6:46,FALSE,Running,7.25,933,0:59:57,160,180,3.9,145,158,8:16,7:21,--,--,1.34,0,0,0,0,0,59:57:00,0:00,0,0:00,No,02:00.8,8,0,Steady,Mid Distance,,"Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Wednesday,2/3/2021,Running,2/3/2021 6:38,FALSE,Athens Running,3.01,424,0:30:45,148,169,2.6,142,155,10:14,7:54,133,110,1.11,0,0,0,0,0,30:45:00,0:00,0,0:00,No,00:02.4,4,0,Recovery,Short Distance,"30,clear",Barnett Shoals,Nike React Miler
Thursday,2/4/2021,Running,2/4/2021 6:34,FALSE,Athens Running,8.1,"1,008",1:06:11,161,180,4,147,164,8:10,7:13,527,425,1.34,0,0,0,0,0,1:06:11,0:00,0,0:00,No,00:46.7,9,0,Steady,Mid Distance,"28,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Friday,2/5/2021,Running,2/5/2021 16:54,FALSE,Athens Running,5.02,614,0:36:06,174,184,4,152,169,7:12,5:53,317,222,1.47,0,0,0,0,0,36:06:00,0:00,0,0:00,No,00:06.7,6,0,Up Tempo,Short Distance,"55, sunny","Snapfinger, Barnett Shoals",Nike React Miler
Saturday,2/6/2021,Running,2/6/2021 8:45,FALSE,Athens Running,3.02,410,0:29:04,150,165,2.8,143,152,9:38,8:29,125,110,1.17,0,0,0,0,0,29:04:00,0:00,0,0:00,No,00:08.8,4,0,Recovery,Short Distance,"39,cloudy",Barnett Shoals,Nike React Miler
Sunday,2/7/2021,,2/7/2021 8:24,FALSE,Athens Running,12.01,"1,462",1:38:10,162,179,4.5,147,173,8:11,6:00,653,613,1.34,0,0,0,0,0,1:38:10,0:00,0,0:00,No,00:02.5,13,0,Distance,Long Distance,"39,cloudy","College Station, Campus",Nike React Miler
Monday,2/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,2/9/2021,Running,2/9/2021 6:25,FALSE,Athens Running,8.15,"1,064",1:06:41,165,180,4.3,147,245,8:11,6:20,"1,061",897,1.34,0,0,0,0,0,1:06:41,0:00,0,0:00,No,01:11.4,9,0,Steasy,Mid Distance,"52,cloudy","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Wednesday,2/10/2021,Running,2/10/2021 6:36,FALSE,Athens Running,3.13,420,0:32:51,144,169,2.4,141,164,10:30,8:04,102,96,1.09,0,0,0,0,0,32:51:00,0:00,0,0:00,No,01:10.0,4,0,Recovery,Short Distance,"43,cloudy",Barnett Shoals,Nike React Miler
Thursday,2/11/2021,Running,2/11/2021 6:37,FALSE,Athens Running,7.01,898,0:55:03,167,180,4.3,146,186,7:51,5:37,456,376,1.4,0,0,0,0,0,55:03:00,0:00,0,0:00,No,00:02.1,8,0,Steasy,Mid Distance,"55,cloudy","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Friday,2/12/2021,Running,2/12/2021 6:44,FALSE,Athens Running,5.01,585,0:35:51,167,184,3.9,153,170,7:10,5:43,336,308,1.47,0,0,0,0,0,35:51:00,0:00,0,0:00,No,00:01.8,6,0,Up Tempo,Short Distance,"43,cloudy","Barnett Shoals, Old Lexington",Nike React Miler
Saturday,2/13/2021,Running,2/13/2021 8:50,FALSE,Athens Running,3.1,458,0:30:02,156,169,3.1,142,158,9:41,7:22,110,90,1.17,0,0,0,0,0,30:02:00,0:00,0,0:00,No,00:58.9,4,0,Recovery,Short Distance,"37,rain",Barnett Shoals,Nike React Miler
Sunday,2/14/2021,Running,2/14/2021 7:24,FALSE,Running,14.01,"1,751",1:54:37,163,176,4.7,147,160,8:11,6:15,--,--,1.34,0,0,0,0,0,1:54:37,0:00,0,0:00,No,00:02.0,15,0,Distance,Long Distance,"39,rain","Barnett Shoals, Ashton Place, Old Lexington, Whit Davis, Barnett Shoals",Nike React Miler
Monday,2/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,2/16/2021,Running,2/16/2021 6:51,FALSE,Running,8.23,"1,063",1:04:44,167,179,4.4,147,173,7:52,5:07,--,--,1.39,0,0,0,0,0,1:04:44,0:00,0,0:00,No,01:37.9,9,0,Steasy,Mid Distance,"39,cloudy,chilly","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Wednesday,2/17/2021,Running,2/17/2021 6:45,FALSE,Athens Running,3,409,0:30:47,145,166,2.4,142,152,10:15,8:16,118,105,1.11,0,0,0,0,0,30:47:00,0:00,0,0:00,No,00:02.4,4,0,Recovery,Short Distance,"27,clear",Barnett Shoals,Nike React Miler
Thursday,2/18/2021,Running,2/18/2021 7:14,FALSE,Athens Running,8.01,977,1:00:11,166,179,4.3,151,184,7:31,4:47,492,414,1.42,0,0,0,0,0,1:00:11,0:00,0,0:00,No,00:02.5,9,0,Steasy,Mid Distance,"39,rain","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Friday,2/19/2021,Running,2/19/2021 6:43,FALSE,Athens Running,5.01,632,0:38:30,166,183,3.8,151,160,7:41,5:29,290,230,1.39,0,0,0,0,0,38:30:00,0:00,0,0:00,No,00:01.6,6,0,Steasy,Short Distance,"43,cloudy","Snapfinger, Barnett Shoals",Nike React Miler
Saturday,2/20/2021,Running,2/20/2021 8:28,FALSE,Athens Running,4,567,0:39:59,150,166,3,143,158,9:59,8:49,217,179,1.13,0,0,0,0,0,39:59:00,0:00,0,0:00,No,00:01.1,5,0,Recovery,Short Distance,"37,sunny","Whitehall, Barnett Shoals",Nike React Miler
Sunday,2/21/2021,Running,2/21/2021 7:31,FALSE,Athens Running,16,"1,924",2:12:15,160,178,4.5,148,184,8:16,5:29,903,916,1.32,0,0,0,0,0,2:12:15,0:00,0,0:00,No,00:01.8,17,0,Distance,Long Distance,"34,sunny","Barnett Shoals, Old, Lexington, College Station, Campus",Nike React Miler
Monday,2/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,2/23/2021,Running,2/23/2021 6:40,FALSE,Athens Running,6.22,799,0:48:23,166,182,4,152,167,7:46,6:50,410,398,1.36,0,0,0,0,0,48:23:00,0:00,0,0:00,No,01:37.7,7,0,Steasy,Short Distance,"39,sunny","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Wednesday,2/24/2021,Running,2/24/2021 17:41,FALSE,Athens Running,3,391,0:27:20,148,164,2.6,145,162,9:06,6:29,116,28,1.22,0,0,0,0,0,27:20:00,0:00,0,0:00,No,00:01.7,4,0,Recovery,Short Distance,,Barnett Shoals,Nike React Miler
Thursday,2/25/2021,Running,2/25/2021 6:25,FALSE,Athens Running,8.01,996,1:02:28,163,179,4.1,151,190,7:48,4:11,469,402,1.36,0,0,0,0,0,1:02:28,0:00,0,0:00,No,00:02.5,9,0,Steasy,Mid Distance,,"Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Friday,2/26/2021,Running,2/26/2021 17:02,FALSE,Athens Running,5.01,603,0:37:46,162,180,3.5,152,172,7:32,6:09,332,272,1.4,0,0,0,0,0,37:46:00,0:00,0,0:00,No,00:02.4,6,0,Steady,Short Distance,"52,cloudy","Snapfinger, Barnett Shoals",Nike React Miler
Saturday,2/27/2021,Running,2/27/2021 10:23,FALSE,Athens Running,3.86,527,0:36:30,150,161,2.9,145,196,9:28,7:53,110,101,1.17,0,0,0,0,0,36:30:00,0:00,0,0:00,No,08:18.3,4,0,Recovery,Short Distance,"48, cloudy",North Oconee Access Trails,Nike Pegasus 37
Sunday,2/28/2021,Running,2/28/2021 8:07,FALSE,Athens Running,12,"1,474",1:35:54,162,176,4.3,150,171,7:59,4:59,701,655,1.34,0,0,0,0,0,1:35:54,0:00,0,0:00,No,00:01.5,13,0,Distance,Long Distance,"54,cloudy","College Station, Oconee Greenway, Campus",Nike React Miler
Monday,3/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,3/2/2021,Running,3/2/2021 6:39,FALSE,Athens Running,8.01,"1,021",1:04:55,161,177,3.9,151,173,8:06,6:40,460,365,1.31,0,0,0,0,0,1:04:55,0:00,0,0:00,No,00:03.4,9,0,Easy,Mid Distance,"46,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike Pegasus 37
Wednesday,3/3/2021,Running,3/3/2021 6:46,FALSE,Athens Running,3,388,0:30:32,140,157,2.2,147,156,10:10,8:19,117,100,1.08,0,0,0,0,0,30:32:00,0:00,0,0:00,No,00:02.1,4,0,Recovery,Short Distance,"39,cloudy",Barnett Shoals,Nike React Miler
Thursday,3/4/2021,Running,3/4/2021 6:10,FALSE,Athens Running,8.01,"1,010",1:04:24,160,179,3.9,148,169,8:02,6:28,463,374,1.35,0,0,0,0,0,1:04:24,0:00,0,0:00,No,00:05.3,9,0,Easy,Mid Distance,"41,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike Pegasus 37
Friday,3/5/2021,Running,3/5/2021 16:44,FALSE,Athens Running,5.01,609,0:35:27,172,183,3.9,155,178,7:05,5:41,254,201,1.47,0,0,0,0,0,35:27:00,0:00,0,0:00,No,00:03.0,6,0,Steady,Short Distance,"66,sunny","Snapfinger, Barnett Shoals",Nike Pegasus 37
Saturday,3/6/2021,Running,3/6/2021 9:48,FALSE,Athens Running,4.01,558,0:40:10,147,162,2.8,141,157,10:01,8:03,255,166,1.13,0,0,0,0,0,40:10:00,0:00,0,0:00,No,00:04.9,5,0,Recovery,Short Distance,"48, cloudy","Barnett Shoals, Old Lexington",Nike Pegasus 37
Sunday,3/7/2021,Running,3/7/2021 8:10,FALSE,Athens Running,14.01,"1,603",1:57:36,156,178,3.9,147,188,8:24,5:06,788,759,1.3,0,0,0,0,0,1:57:36,0:00,0,0:00,No,00:02.1,15,0,Distance,Long Distance,"36,sunny","College Station, Oconee Greenway, Campus",Nike Pegasus 37
Monday,3/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,3/9/2021,Running,3/9/2021 6:32,FALSE,Athens Running,8.01,999,1:03:27,161,188,3.9,153,190,7:56,6:22,485,388,1.33,0,0,0,0,0,1:03:27,0:00,0,0:00,No,00:02.6,9,0,Easy,Mid Distance,"37,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike Pegasus 37
Wednesday,3/10/2021,Running,3/10/2021 6:33,FALSE,Athens Running,3,433,0:31:15,148,160,2.6,145,159,10:24,7:47,117,103,1.07,0,0,0,0,0,31:15:00,0:00,0,0:00,No,00:02.4,4,0,Recovery,Short Distance,"37, clear",Barnett Shoals,Nike Pegasus 37
Wednesday,3/10/2021,Running,3/10/2021 17:06,FALSE,Athens Running,3.01,411,0:28:57,146,160,2.7,146,173,9:38,7:13,116,98,1.15,0,0,0,0,0,28:57:00,0:00,0,0:00,No,00:02.5,4,0,Recovery,Short Distance,"73, sunny",Barnett Shoals,Nike Pegasus 37
Thursday,3/11/2021,Running,3/11/2021 6:29,FALSE,Athens Running,8,952,1:01:50,162,177,3.9,155,167,7:44,6:48,503,419,1.34,0,0,0,0,0,1:01:50,0:00,0,0:00,No,00:01.8,9,0,Steasy,Mid Distance,"48,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike Pegasus 37
Friday,3/12/2021,Running,3/12/2021 6:37,FALSE,Athens Running,7.01,888,0:55:57,162,176,3.9,150,184,7:59,6:23,452,356,1.34,0,0,0,0,0,55:57:00,0:00,0,0:00,No,00:01.8,8,0,Easy,Mid Distance,"50,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike Pegasus 37
Friday,3/12/2021,Running,3/12/2021 17:05,FALSE,Athens Running,3,383,0:28:14,144,158,2.4,145,155,9:24,8:35,112,125,1.18,0,0,0,0,0,28:14:00,0:00,0,0:00,No,00:01.8,4,0,Recovery,Short Distance,"79,sunny",Barnett Shoals,Nike Pegasus 37
Saturday,3/13/2021,Running,3/13/2021 7:01,FALSE,Athens Running,13.1,"1,536",1:43:14,160,177,4.3,152,184,7:53,5:31,759,753,1.35,0,0,0,0,0,1:43:14,0:00,0,0:00,No,00:44.5,14,0,Distance,Long Distance,"59,sunny","College Station, Campus",Nike Pegasus 37
Sunday,3/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,3/15/2021,Running,3/15/2021 17:46,FALSE,Athens Running,3,404,0:30:47,143,153,2.3,145,155,10:15,8:33,111,96,1.08,0,0,0,0,0,30:47:00,0:00,0,0:00,No,00:02.0,4,0,Recovery,Short Distance,"70,cloudy",Barnett Shoals,Nike Pegasus 37
Tuesday,3/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,3/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,3/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,3/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,3/20/2021,Running,3/20/2021 7:58,FALSE,Athens Running,3.01,375,0:32:54,134,155,2,145,154,10:57,9:24,128,38,1.01,0,0,0,0,0,32:54:00,0:00,0,0:00,No,00:03.1,4,0,Recovery,Short Distance,"39,sunny",Barnett Shoals,Hoka Arahi 4
Sunday,3/21/2021,Running,3/21/2021 7:56,FALSE,Athens Running,3.43,457,0:31:37,149,177,3,150,210,9:12,6:49,114,58,1.17,0,0,0,0,0,31:37:00,0:00,0,0:00,No,04:00.3,4,0,Recovery,Short Distance,"48,cloudy",Barnett Shoals,Hoka Arahi 4
Monday,3/22/2021,Running,3/22/2021 6:55,FALSE,Athens Running,3.4,422,0:27:59,153,170,3.1,153,164,8:15,7:18,153,92,1.28,0,0,0,0,0,27:59:00,0:00,0,0:00,No,03:28.2,4,0,Easy,Short Distance,"52,cloudy",Barnett Shoals,Hoka Arahi 4
Tuesday,3/23/2021,Running,3/23/2021 6:22,FALSE,Athens Running,6.23,818,0:51:53,161,180,3.8,151,161,8:20,6:53,395,357,1.28,0,0,0,0,0,51:53:00,0:00,0,0:00,No,01:53.4,7,0,Easy,Short Distance,"55,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike Pegasus 37
Wednesday,3/24/2021,Running,3/24/2021 6:38,FALSE,Athens Running,3.44,431,0:27:10,162,178,3.3,151,162,7:54,6:32,136,94,1.35,0,0,0,0,0,27:10:00,0:00,0,0:00,No,03:27.8,4,0,Easy,Short Distance,"50,cloudy",Barnett Shoals,Hoka Arahi 4
Thursday,3/25/2021,Running,3/25/2021 6:27,FALSE,Athens Running,5.01,617,0:36:53,169,182,3.9,154,166,7:22,6:24,294,251,1.42,0,0,0,0,0,36:53:00,0:00,0,0:00,No,00:02.6,6,0,Steady,Short Distance,"61,cloudy","Barnett Shoals, Old Lexington",Hoka Arahi 4
Friday,3/26/2021,Running,3/26/2021 17:45,FALSE,Athens Running,5.01,624,0:39:26,163,175,3.6,151,167,7:53,6:34,294,238,1.35,0,0,0,0,0,39:26:00,0:00,0,0:00,No,00:02.3,6,0,Steasy,Short Distance,"75, sunny","Snapfinger, Barnett Shoals",Hoka Arahi 4
Saturday,3/27/2021,Running,3/27/2021 9:39,FALSE,Athens Running,3,412,0:32:13,143,164,2.3,143,167,10:44,6:38,171,190,1.05,0,0,0,0,0,32:13:00,0:00,0,0:00,No,00:02.0,4,0,Recovery,Short Distance,"70,cloudy",Lake Herrick,Hoka Arahi 4
Sunday,3/28/2021,Running,3/28/2021 7:03,FALSE,Athens Running,12.36,"1,533",1:39:37,163,176,4.8,152,180,8:03,5:14,709,663,1.32,0,0,0,0,0,1:39:37,0:00,0,0:00,No,03:03.9,13,0,Distance,Long Distance,"66,cloudy","College Station, Campus",Hoka Arahi 4
Monday,3/29/2021,Running,3/29/2021 5:32,FALSE,Athens Running,2.78,335,0:28:37,136,168,2.2,143,239,10:17,7:49,206,206,1.09,0,0,0,0,0,28:37:00,0:00,0,0:00,No,08:04.5,3,0,Recovery,Short Distance,"43,clear",Campus,Nike Pegasus 37
Tuesday,3/30/2021,Running,3/30/2021 6:23,FALSE,Athens Running,8.01,969,1:04:16,159,175,3.8,150,168,8:02,6:48,455,371,1.34,0,0,0,0,0,1:04:16,0:00,0,0:00,No,00:03.4,9,0,Easy,Mid Distance,"43, clear","Barnett Shoals, Ashton Place, Old Lexington",Hoka Arahi 4
Wednesday,3/31/2021,Running,3/31/2021 6:03,FALSE,Athens Running,6.22,836,0:55:02,159,173,3.7,146,164,8:51,7:32,396,351,1.25,0,0,0,0,0,55:02:00,0:00,0,0:00,No,02:01.5,7,0,Easy,Short Distance,"64,cloudy","Barnett Shoals, Ashton Place, Old Lexington",Hoka Arahi 4
Thursday,4/1/2021,Running,4/1/2021 6:29,FALSE,Athens Running,8,"1,006",1:04:27,163,176,4.1,151,186,8:03,4:36,455,367,1.32,0,0,0,0,0,1:04:27,0:00,0,0:00,No,00:02.0,9,0,Easy,Mid Distance,"43,clear","Barnett Shoals, Ashton Place, Old Lexington",Hoka Arahi 4
Friday,4/2/2021,Running,4/2/2021 6:22,FALSE,Athens Running,3.06,427,0:32:34,144,170,2.5,147,156,10:39,8:38,124,90,1.03,0,0,0,0,0,32:34:00,0:00,0,0:00,No,00:36.1,4,0,Recovery,Short Distance,"34,clear",Barnett Shoals,Hoka Arahi 4
Friday,4/2/2021,Running,4/2/2021 17:46,FALSE,Athens Running,5.01,628,0:43:19,155,185,3.3,149,167,8:39,5:46,249,233,1.25,0,0,0,0,0,43:19:00,0:00,0,0:00,No,00:02.8,6,0,Easy,Short Distance,"57, clear","Snapfinger, Barnett Shoals",Hoka Arahi 4
Saturday,4/3/2021,Running,4/3/2021 7:22,FALSE,Athens Running,12.01,"1,428",1:39:07,159,181,4.2,150,203,8:15,4:54,684,643,1.3,0,0,0,0,0,1:39:07,0:00,0,0:00,No,00:02.7,13,0,Distance,Long Distance,"34,clear","College Station, Campus",Hoka Arahi 4
Sunday,4/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,4/5/2021,Running,4/5/2021 17:40,FALSE,Athens Running,4,534,0:40:26,146,159,2.7,144,154,10:06,7:19,189,172,1.11,0,0,0,0,0,40:26:00,0:00,0,0:00,No,00:02.3,5,0,Recovery,Short Distance,"81,clear","Whitehall Village, Barnett Shoals",Hoka Arahi 4
