weekDay,date,Activity Type,dateTime,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Run Type,Distance Type,Weather,Location,Shoes
Friday,1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,1/2/2021,Running,1/2/2021 7:58,FALSE,Athens Running,10,"1,269",1:20:49,162,181,4.3,148,167,8:05,6:13,490,509,1.35,0,0,0,0,0,1:20:49,0:00,0,0:00,No,00:01.0,11,0,Distance,Long Distance,"48,cloudy","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Sunday,1/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,1/4/2021,Running,1/4/2021 6:12,FALSE,Athens Running,4.01,502,0:31:25,161,187,3.4,150,160,7:50,6:34,204,113,1.37,0,0,0,0,0,31:25:00,0:00,0,0:00,No,00:01.9,5,0,Recovery,Short Distance,"34,clear",Barnett Shoals,Nike React Miler
Tuesday,1/5/2021,Running,1/5/2021 6:46,FALSE,Athens Running,7.01,935,1:07:29,151,172,3.3,144,165,9:38,7:12,424,357,1.16,0,0,0,0,0,1:07:29,0:00,0,0:00,No,00:02.4,8,0,Recovery,Mid Distance,"46,clear","Barnett Shoals, Ashton Place, Old Lexington",New Balance Fuel Cell Propel
Wednesday,1/6/2021,Running,1/6/2021 6:22,FALSE,Athens Running,4.01,497,0:33:00,154,171,3.1,148,165,8:14,7:25,225,136,1.32,0,0,0,0,0,33:00:00,0:00,0,0:00,No,00:01.8,5,0,Recovery,Short Distance,"30,clear","Whitehall Village, Barnett Shoals",New Balance Fuel Cell Propel
Thursday,1/7/2021,Running,1/7/2021 6:33,FALSE,Athens Running,4.01,491,0:30:14,163,185,3.5,153,165,7:33,5:56,240,202,1.4,0,0,0,0,0,30:14:00,0:00,0,0:00,No,00:01.4,5,0,Steady,Short Distance,"36,clear","Whitehall Village, Barnett Shoals",New Balance Fuel Cell Propel
Friday,1/8/2021,Running,1/8/2021 17:09,FALSE,Athens Running,3.53,443,0:28:29,158,175,3.2,149,165,8:04,7:05,120,87,1.34,0,0,0,0,0,28:29:00,0:00,0,0:00,No,04:21.2,4,0,Easy,Short Distance,"43,cloudy",Barnett Shoals,
Saturday,1/9/2021,Running,1/9/2021 8:48,FALSE,Athens Running,3.01,387,0:29:06,144,165,2.4,144,155,9:41,8:17,126,57,1.16,0,0,0,0,0,29:06:00,0:00,0,0:00,No,00:02.5,4,0,Recovery,Short Distance,"36,clear",Barnett Shoals,
Sunday,1/10/2021,Running,1/10/2021 10:03,FALSE,Barrow County Running,10.74,"1,425",1:33:30,161,176,4.4,151,166,8:42,6:53,639,606,1.23,0,0,0,0,0,1:33:30,0:00,0,0:00,No,05:54.9,11,0,Distance,Long Distance,"34,clear",Fort Yargo,New Balance Fuel Cell Propel
Monday,1/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Tuesday,1/12/2021,Running,1/12/2021 6:29,FALSE,Athens Running,7,898,0:56:59,162,179,4,149,162,8:08,7:08,354,295,1.33,0,0,0,0,0,56:59:00,0:00,0,0:00,No,00:01.2,8,0,Steasy,Mid Distance,"43,cloudy","Barnett Shoals, Ashton Place, Old Lexington",New Balance Fuel Cell Propel
Wednesday,1/13/2021,Running,1/13/2021 5:53,FALSE,Athens Running,3.23,431,0:31:58,145,165,2.6,144,155,9:53,8:09,130,87,1.13,0,0,0,0,0,31:58:00,0:00,0,0:00,No,02:05.9,4,0,Recovery,Short Distance,"32,cloudy",Barnett Shoals,Nike React Miler
Thursday,1/14/2021,Running,1/14/2021 6:31,FALSE,Athens Running,7.01,844,0:55:54,161,174,3.8,147,163,7:59,7:01,438,357,1.37,0,0,0,0,0,55:54:00,0:00,0,0:00,No,00:02.0,8,0,Steasy,Mid Distance,"34,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Friday,1/15/2021,Running,1/15/2021 6:53,FALSE,Athens Running,3.11,332,0:20:19,167,182,3.2,162,172,6:31,5:44,127,71,1.52,0,0,0,0,0,20:19,0:00,0,0:00,No,00:39.1,4,0,Tempo,Short Distance,"43,cloudy",Barnett Shoals,New Balance Fuel Cell Propel
Saturday,1/16/2021,Running,1/16/2021 7:37,FALSE,Athens Running,3.25,461,0:32:47,149,161,2.8,142,160,10:05,7:45,153,57,1.13,0,0,0,0,0,32:47:00,0:00,0,0:00,No,02:32.7,4,0,Recovery,Short Distance,"34,clear",Barnett Shoals,Nike React Miler
Sunday,1/17/2021,Running,1/17/2021 7:59,FALSE,Athens Running,12.01,"1,395",1:38:54,157,177,4.1,145,187,8:14,5:47,652,608,1.35,0,0,0,0,0,1:38:54,0:00,0,0:00,No,00:02.2,13,0,Distance,Long Distance,"36,cloudy","College Station, Campus",Nike React Miler
Monday,1/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,1/19/2021,Running,1/19/2021 6:32,FALSE,Athens Running,7,795,0:57:02,151,179,3.4,148,170,8:09,6:40,458,363,1.33,0,0,0,0,0,57:02:00,0:00,0,0:00,No,00:01.8,8,0,Steasy,Mid Distance,"30,clear","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Wednesday,1/20/2021,Running,1/20/2021 6:23,FALSE,Athens Running,3.06,396,0:29:53,144,156,2.5,142,152,9:45,8:21,102,52,1.16,0,0,0,0,0,29:53:00,0:00,0,0:00,No,00:38.2,4,0,Recovery,Short Distance,"46,clear",Barnett Shoals,Nike React Miler
Thursday,1/21/2021,Running,1/21/2021 6:52,FALSE,Athens Running,8,"1,014",1:04:32,162,179,4.2,148,184,8:04,6:25,357,299,1.35,0,0,0,0,0,1:04:32,0:00,0,0:00,No,00:01.4,9,0,Steasy,Mid Distance,"45,cloudy","Barnett Shoals, Ashton Place, Old Lexington",Nike React Miler
Friday,1/22/2021,Running,1/22/2021 7:18,FALSE,Athens Running,5,631,0:38:09,169,182,3.9,148,160,7:37,6:39,272,218,1.42,0,0,0,0,0,38:09:00,0:00,0,0:00,No,00:02.2,6,0,Steady,Short Distance,"46,clear","Snapfinger, Barnett Shoals",Nike React Miler
Saturday,1/23/2021,Running,1/23/2021 8:25,FALSE,Athens Running,3.02,432,0:30:05,150,166,2.8,143,152,9:59,8:27,149,96,1.13,0,0,0,0,0,30:05:00,0:00,0,0:00,No,00:08.6,4,0,Recovery,Short Distance,"36,clear",Barnett Shoals,Nike React Miler
Sunday,1/24/2021,Running,1/24/2021 8:47,FALSE,Athens Running,12.01,"1,528",1:40:08,162,176,4.5,146,167,8:20,5:22,645,602,1.32,0,0,0,0,0,1:40:08,0:00,0,0:00,No,00:02.7,13,0,Distance,Long Distance,"43,clear","College Station, Campus",Nike React Miler
Monday,1/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,1/26/2021,Running,1/26/2021 16:28,FALSE,Athens Running,7.01,868,0:54:21,165,181,4.1,147,218,7:45,5:37,397,340,1.41,0,0,0,0,0,54:21:00,0:00,0,0:00,No,00:03.4,8,0,Steady,Mid Distance,"70,partly cloudy","Snapfinger, Old Lexington",Nike React Miler
Wednesday,1/27/2021,Running,1/27/2021 17:48,FALSE,Athens Running,3.01,398,0:31:20,143,155,2.3,142,155,10:24,8:47,154,45,1.09,0,0,0,0,0,31:20:00,0:00,0,0:00,No,00:08.8,4,0,Recovery,Short Distance,,Barnett Shoals,New Balance Fuel Cell Propel
Thursday,1/28/2021,Running,1/28/2021 17:37,FALSE,Athens Running,5.52,665,0:42:12,163,180,3.6,147,221,7:39,4:47,300,304,1.43,0,0,0,0,0,42:12:00,0:00,0,0:00,No,04:01.9,6,0,Steady,Short Distance,"46,Clear",Campus,New Balance Fuel Cell Propel
